clothing,4.560302171985986E9,911487
video games,4.560108307495081E9,913326
beauty products,4.533874327849021E9,906417
gardening tools,4.531880837735972E9,905841
stationery,4.481794912394876E9,898265
automotive,4.529861310738971E9,904962
home appliances,4.473888361733978E9,895815
groceries,4.466915230969921E9,895470
footwear,4.46557498336103E9,894424
toys,4.462453654119006E9,892741
health & wellness,4.454082892490958E9,890475
baby products,4.541435362251042E9,907186
furniture,4.503986763161957E9,900244
pet supplies,4.488741730382008E9,896724
jewelry,4.463823670789968E9,893980
office equipment,4.46356494738101E9,892370
books,4.4576208259530115E9,890948
music instruments,4.512294466136965E9,902389
electronics,4.497526631038943E9,903266
sports equipment,4.46938781233602E9,894287
